"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Backend API","0","User - Shopping Cart","5","0","User Add Item to Cart","0"
"0","Backend API","0","Admin - Users Management","14","0","Admin Create User","0"
"0","Backend API","0","Admin - Products Management","10","0","Admin Create Product","0"
"0","Backend API","0","User - Profile Management","1","0","User Get Own Profile","0"
"0","Backend API","0","User - Shopping Cart","1","0","User Clear Cart","0"
"0","Store Front","0","","2","0","Page Visibility","0"
"0","Backend API","0","Admin - Products Management","1","0","Admin Delete Product","0"
"0","Backend API","0","User - Orders","3","0","User Create Order","0"
"0","Store Front","0","Authentication","1","0","User Login","0"
"0","Store Front","0","Home Page","1","0","Page Visibility","0"
"0","Store Front","0","User - Orders","4","0","Page Visibility","0"
"0","Backend API","0","Authentication","9","0","User Login","0"
"0","Store Front","0","Authentication","2","0","Page Visibility","0"
"0","Backend API","0","Authentication","1","0","Admin Login","0"
"0","Backend API","0","Admin - Users Management","1","0","Admin Get User by ID","0"
"0","Backend API","0","User - Products Browsing","1","0","User Get Products List","0"
"0","Store Front","0","User - Products Browsing","3","0","User Get Product by ID","0"
"0","Store Front","0","User - Shopping Cart","1","0","User Clear Cart","0"
"0","Store Front","0","User - Shopping Cart","1","0","User Create Order","0"
"0","Store Front","0","Authentication","1","0","User Registration","0"
"0","Backend API","0","Admin - Products Management","1","0","Admin Partial Update Product","0"
"0","Backend API","0","User - Shopping Cart","1","0","User Remove Product from Cart","0"
"0","Store Front","0","User - Orders","1","0","User Create Order","0"
"0","Store Front","0","User - Products Browsing","2","0","User Add Item to Cart","0"
"0","Store Front","0","","2","0","Header Links Navigation","0"
"0","Backend API","0","User - Orders","1","0","User Get Order by ID","0"
"0","Backend API","0","User - Orders","1","0","User Get Orders List","0"
"0","Backend API","0","Authentication","2","0","User Registration","0"
"0","Store Front","0","","1","0","User Logout","0"
"0","Store Front","0","User - Shopping Cart","2","0","Page Visibility","0"
"0","Backend API","0","User - Shopping Cart","1","0","User Get Cart","0"
"0","Store Front","0","","0","1","","0"
"0","Backend API","0","User - Profile Management","1","0","User Delete Profile","0"
"0","Store Front","0","Product Detail Page","1","0","Page Visibility","0"
"0","Store Front","0","User - Shopping Cart","2","0","User Add Item to Cart","0"
"0","Backend API","0","Admin - Products Management","1","0","Admin Full Update Product","0"
"0","Store Front","0","User - Shopping Cart","1","0","User Remove Product from Cart","0"
"0","Backend API","0","User - Profile Management","1","0","User Full Update Profile","0"
"0","Backend API","0","User - Products Browsing","1","0","User Get Product by ID","0"
