"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:25:58 UTC 2026","passed","Fri Feb 20 04:25:58 UTC 2026","TestUserNegative","test_user","",""
"","444","Открытие карточки товара","tests.ui","Fri Feb 20 04:28:13 UTC 2026","passed","Fri Feb 20 04:28:13 UTC 2026","TestHomePage","test_home_page","",""
"","662","Создание продукта с некорректным URL изображения","tests.api","Fri Feb 20 04:25:51 UTC 2026","passed","Fri Feb 20 04:25:51 UTC 2026","TestProductNegative","test_product","",""
"","921","Добавление единицы продукта в корзину","tests.api","Fri Feb 20 04:25:27 UTC 2026","passed","Fri Feb 20 04:25:27 UTC 2026","TestCartPositive","test_cart","",""
"","260","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:25:56 UTC 2026","passed","Fri Feb 20 04:25:56 UTC 2026","TestUserNegative","test_user","",""
"","267","Регистрация пользователя с валидными данными","tests.api","Fri Feb 20 04:25:16 UTC 2026","passed","Fri Feb 20 04:25:17 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","486","Логин админа с валидными данными","tests.api","Fri Feb 20 04:25:21 UTC 2026","passed","Fri Feb 20 04:25:21 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","261","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:25:56 UTC 2026","passed","Fri Feb 20 04:25:56 UTC 2026","TestUserNegative","test_user","",""
"","254","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:25:57 UTC 2026","passed","Fri Feb 20 04:25:57 UTC 2026","TestUserNegative","test_user","",""
"","475","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests.api","Fri Feb 20 04:25:21 UTC 2026","passed","Fri Feb 20 04:25:21 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","20","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:25:19 UTC 2026","passed","Fri Feb 20 04:25:19 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","10","Удаление существующего продукта","tests.api","Fri Feb 20 04:25:43 UTC 2026","passed","Fri Feb 20 04:25:43 UTC 2026","TestProductPositive","test_product","",""
"","213","Отображение главной страницы","tests.ui","Fri Feb 20 04:28:11 UTC 2026","passed","Fri Feb 20 04:28:11 UTC 2026","TestHomePage","test_home_page","",""
"","585","Отображение хедера в неавторизованном состоянии","tests.ui","Fri Feb 20 04:28:16 UTC 2026","passed","Fri Feb 20 04:28:17 UTC 2026","TestHeader","test_header","",""
"","521","Создание продукта без заполнения обязательного поля","tests.api","Fri Feb 20 04:25:49 UTC 2026","passed","Fri Feb 20 04:25:49 UTC 2026","TestProductNegative","test_product","",""
"","230","Переход на страницу оформления заказа","tests.ui","Fri Feb 20 04:27:59 UTC 2026","passed","Fri Feb 20 04:28:00 UTC 2026","TestCartPage","test_cart_page","",""
"","476","Отображение страницы оформления заказа","tests.ui","Fri Feb 20 04:28:16 UTC 2026","passed","Fri Feb 20 04:28:16 UTC 2026","TestCheckoutPage","test_checkout_page","",""
"","722","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 04:25:46 UTC 2026","passed","Fri Feb 20 04:25:47 UTC 2026","TestProductNegative","test_product","",""
"","485","Создание продукта без заполнения обязательного поля","tests.api","Fri Feb 20 04:25:49 UTC 2026","passed","Fri Feb 20 04:25:50 UTC 2026","TestProductNegative","test_product","",""
"","244","Получение данных корзины","tests.api","Fri Feb 20 04:25:33 UTC 2026","passed","Fri Feb 20 04:25:33 UTC 2026","TestCartPositive","test_cart","",""
"","162","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:25:24 UTC 2026","passed","Fri Feb 20 04:25:24 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","963","Навигация по ссылкам в хедере при авторизованном состоянии","tests.ui","Fri Feb 20 04:28:08 UTC 2026","passed","Fri Feb 20 04:28:09 UTC 2026","TestHeader","test_header","",""
"","18","Получение списка продуктов","tests.api","Fri Feb 20 04:25:48 UTC 2026","passed","Fri Feb 20 04:25:48 UTC 2026","TestProductPositive","test_product","",""
"","124","Отображение списка заказов с заказом","tests.ui.test_orders","Fri Feb 20 04:28:24 UTC 2026","passed","Fri Feb 20 04:28:24 UTC 2026","TestOrdersList","test_orders_list_page","",""
"","26","Создание заказа","tests.api","Fri Feb 20 04:25:28 UTC 2026","passed","Fri Feb 20 04:25:28 UTC 2026","TestOrderPositive","test_order","",""
"","26","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:25:56 UTC 2026","passed","Fri Feb 20 04:25:56 UTC 2026","TestUserNegative","test_user","",""
"","638","Отображение страницы товара с авторизацией","tests.ui","Fri Feb 20 04:28:44 UTC 2026","passed","Fri Feb 20 04:28:45 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","0","E2E путь пользователя","tests.ui","Fri Feb 20 04:28:06 UTC 2026","skipped","Fri Feb 20 04:28:06 UTC 2026","TestE2E","test_e2e","",""
"","262","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:25:57 UTC 2026","passed","Fri Feb 20 04:25:57 UTC 2026","TestUserNegative","test_user","",""
"","13","Создание пользователя с уже зарегистрированным email","tests.api","Fri Feb 20 04:25:58 UTC 2026","passed","Fri Feb 20 04:25:58 UTC 2026","TestUserNegative","test_user","",""
"","479","Логин пользователя с зарегистрированным email и неподходящим паролем","tests.api","Fri Feb 20 04:25:21 UTC 2026","passed","Fri Feb 20 04:25:21 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","336","Добавление товара в корзину с авторизацией","tests.ui","Fri Feb 20 04:28:26 UTC 2026","passed","Fri Feb 20 04:28:26 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
